abend	evening
abfahren	to depart
abfahrt	Departure
abfliegen	take off
abflug	Departure
abgeben	to give up
abholen	pick up
ableitbar	derivable
ableitbaren	derivable
absender	Sender
achtung	Attention
adresse	address
aktiv	active
aktualisiert	Updated
alltagskommuni	Everyday Communion
alphabetisch	Alphabetically
alt	old
alte	old
alter	old
anbieten	to offer
anerkennen	to recognize
anfang	beginning
anfangen	to begin
anführen	to lead
angabe	Statement
angebot	Offer
anklicken	Click
ankommen	to arrive
ankreuzen	to cross out
ankunft	Arrival
anmachen	to make up
anmelden	to register
anmeldung	Registration
anrede	Address
anruf	call
anrufbeantworter	Answering machine
anrufen	to call
ansage	announcement
anschluss	annexation
anspruchsniveau	level of expectation
antwort	answer
antwortbog	Answer book
antworten	to answer
anzeige	Complaint
anziehen	to put on
apartment	Wohnung
apfel	Apple
äpfel	apples
apfelsaft	apple juice
apotheke	pharmacy
appetit	appetite
april	April
arbeit	work
arbeiten	to work
arbeiter	worker
arbeitsfassung	Work arrangement
arbeitslos	unemployed
arbeitsplatz	workplace
arm	arm
arzt	doctor
ärztin	Doctor (female)
association	Organization
aufgabe	Task
aufgebaut	established
aufgeführt	performed
aufgenommen	taken
aufhören	to stop
auflage	Edition
auflisten	to list up
aufstehen	get up
auftrag	Assignment
aufzug	Elevator
auge	eye
ausbildung	Training
ausdruck	expression
ausflug	outing
ausfüllen	fill out
ausgabe	issue
ausgang	exit
ausgewählt	selected
auskunft	Information
ausland	abroad
ausländer	foreigner
ausländerin	foreign woman
ausländisch	foreign
auslandsvertretung	Overseas Representation
ausmachen	to turn off
ausnehmen	to exclude
aussage	statement
aussehen	to look like
aussteigen	to get out or off
auswahl	selection
ausweis	identification
ausziehen	to undress
auszug	extraction
auto	car
autobahn	highway
automat	Automaton
automatisch	Automatically
baby	baby
bäckerei	Bakery
bad	Bad
baden	bath
bahn	track
bahnhof	station
bahnhofstraße	Train Station Street
bahnsteig	platform
balkon	balcony
banane	banana
bank	bank
bar	bar
bauch	stomach
baum	tree
beamter	civil servant
beamtin	beamline
beantworter	Answerer
bedeuten	to mean
bedeutung	meaning
befinden	to find
begegnen	to encounter
beginnen	to start
beherr	mastered
bein	leg
beispiel	example
beispielsätz	example sentences
beispielsweise	For example
bekannte	known
bekannter	better known
bekommen	to get or receive
bekommsen	to get acquainted with
benutzen	to use
bereich	Domain
berghaus	Mountain hut
beruf	profession
beruflich	professionally
beschrieben	described
besetzen	occupy
besichtigen	to visit
bestandteil	component
bestellen	to order
besuch	visit
besuchen	visit
bett	bed
bewältigung	mastering
bewohner	inhabitant
bezahlen	to pay
bezeichnen	designate
bier	beer
bild	image
bilden	to form
bildung	Education
billig	inexpensive
birne	pear
birnen	pears
bisschen	little bit
bitte	please
bitten	asked
bitter	bitter
blau	Blue
bleiben	stay
bleistift	pencil
blick	glance
blume	flower
bogen	arc
böse	wicked
brauchen	need
brauchsen	need
breit	wide
breite	broad
brief	letter
briefmark	Postage stamp
briefmarke	Postage stamp
bring	bring
bringen	to bring
broschüre	brochure
brot	bread
brötchen	Muffin
bruder	brother
buch	book
buchladen	bookstore
buchstabe	letter
buchstabieren	Spell out
bundesministerium	Federal Ministry
bundesrepublik	Federal Republic
bung	stupid
büro	office
bus	Bus
butter	Butter
café	coffee shop
celsius	Centigrade
cent	cent
chef	Kitchen chief
chefin	Boss
circa	around
computer	Computer
credit	Credit
dame	lady
danke	thank you
danken	to thank
datum	data
dauern	to last
denken	think
deutsch	German
deutsche	German
deutscheuropaeuropäer	European
deutschkurs	German course
deutschlehrerin	German teacher
deutschprüfung	German language test
dezembermonat	December month
didaktisch	pedagogically
dienstag	Tuesday
dienstleistung	Service
direktor	Director
disco	Disco
disko	nightclub
doktor	Doctor
dokumentieren	to document
dom	home
donnerstag	Thursday
doppelzimmer	Double room
dorf	village
dorthin	there
draußen	outside
drück	push
drucken	print
drücken	press
drucker	Printer
dung	manure
durchsage	announcement
durst	thirst
dusche	shower
duschen	shower
ecke	corner
ehefrau	wife
ehegattennachzug	Spousal relocation benefit
ehemann	husband
eilig	hurriedly
einfach	simple
eingang	Entrance
eingerückt	Indented
einkaufen	to shop
einladen	to invite
einladung	invitation
einrichtung	installation
einsteigen	to board
eintrag	entry
eintritt	admission
eintrittskarte	admission ticket
einzeln	separately
einzelzimmer	Single room
elementar	fundamental
eltern	parents
empfänger	receiver
empfehlen	Recommend
enden	to end
englisch	English: English
enthalten	to contain
entschuldig	apologetic
entschuldigen	to apologize
entschuldigung	apology
erbringtn	rendered
erfolgen	to occur
erfüllen	to fulfill
ergänzen	to supplement
ergebnis	result
erklären	Explain
erlauben	to allow
ermöglichen	to enable
erschließbar	Accessible
erschließen	to unlock or to gain access
erstmals	for the first time
erwachsene	adults
erzählen	to tell
erziehung	education
essen	to eat
euer	your
euro	Euro
europäisch	European
europäischländer	European countries
europarat	European Parliament
fähigkeit	Ability
fahr	drive
fahren	to drive or ride
fahrer	driver
fahrkarte	Ticket
fahrrad	bicycle
fährst	drive
fahrt	journey
fallen	fallen
falsch	wrong
familie	family
familienname	surname
familiennamen	family names
familienstand	Family status
fangen	to catch or to start
farbe	color
fax	Telex
februar	February
fehlen	lack
fehler	mistake
feierabend	quitting time
feiern	celebrate
feiertag	Holiday
fenster	window
fernsehen	television
fertig	finished
festigung	stabilization
feuer	fire
fieber	Fever
film	movie
finden	to find
findest	finds
finne	Fin
finnisch	Finnish
firma	company
fisch	fish
flasche	bottle
fleisch	Meat
fliegen	to fly
fliegsen	to flutter
flughafen	airport
flugzeug	airplane
folgen	to follow
folgend	following
form	shape
formular	Form
foto	photo
frage	ask
fragen	ask
französisch	French
frau	woman
frei	free
freitag	Friday
freitags	Fridays
freizeit	leisure time
fremd	strange
fremdsprache	Foreign language
frequenzkriterie	Frequency criterion
freuen	rejoice
freund	friend
freundin	girlfriend
freundlich	friendly
frühjahr	spring
frühling	spring
frühstück	breakfast
frühstücken	to have breakfast
führung	leadership
fülle	fullness
fünfundzwanzig	twenty-five
fuß	foot
fußball	Soccer
garten	garden
gast	guest
gebären	to bear
geben	to give
gebrauchsartikel	Consumer goods
gebraucht	Used
geburtsdatum	birth date
geburtsjahr	birth year
geburtsort	birthplace
geburtstag	birthday
geehrt	respected
geeignet	suitable
gefallen	pleased
gefällen	Please
gefordert	required
geh	go
gehen	go
gehören	belong
gelb	Yellow
geld	money
gemeinsam	together
gemeinsamer	joint
gemüse	vegetables
gepäck	Luggage
geradeaus	straight ahead
gerne	pleased
geschäft	business
geschenk	Gift
geschlecht	sex
geschrieben	written
geschwister	Siblings
gespräch	conversation
gesprochen	spoken
gestern	yesterday
getränk	drink
gewicht	weight
gewinnen	to win
gewohnheit	habit
gib	give
glas	glass
gläser	glasses
glauben	believe
gleich	same
gleis	track
glück	happiness
glücklich	happy
glückwunsch	Congratulations
gmbh	Limited Liability Company
grad	step
gramm	grammar
gratulieren	Congratulations
grau	gray
grill	barbecue
größe	size
großelter	grandparent
großmutter	grandmother
großvater	grandfather
grün	green
grundbaustein	foundation stone
grundlage	foundation
grundstock	foundation
gruppe	group
gruß	greeting
grüße	greetings
gültig	valid
günstig	affordable
gut	good
gute	good
haar	hair
