abbiegen	turn off
abbildung	Representation
aben	evening
abend	evening
abends	in the evening
abendzeitung	Evening newspaper
abenteuer	adventure
aber	but
abfahren	to leave or depart
abfahrt	Departure
abfall	waste
abfalleimer	Waste bin
abflug	takeoff
abgase	emissions
abgeben	to give up or hand over
abgebogen	bent off
abgehangen	hanging loose
abgeholter	collected
abgemacht	Agreed upon
abgeschlossen	Completed
abgeschrieben	Written off
abgewaschen	washed off
abhängen	hang out
abhängig	dependent
abheben	take off
abhoben	to hover
abholen	to pick up
abholt	picks up
abitur	A-levels
ablaufen	to run out, to elapse
ablehnen	Reject
abmachen	arrange, settle, make up for
abnehmen	to lose weight
abonnement	Subscription
abonnieren	Subscribe
absagen	to cancel or decline
abschied	Farewell
abschließen	to conclude
abschluss	Conclusion
abschnitt	Section
abschreiben	write off
absender	Sender
absenderin	Sender
absicht	intention
absolut	absolute
abstimmen	vote
abteilung	Department
abwart	wait
abwartin	Abwarts
abwärts	downwards
abwaschen	to wash off
abwesend	Absent
abzuholen	to pick up
acht	eight
achten	to pay attention to
achtung	Attention
achtzig	eighty
adresse	address
afrika	Africa
ähnlich	similar
ahnung	Presentiment
ährst	earliest
aktion	Action
aktiv	active
aktivität	Activity
aktuell	Current
akzeptieren	accept
alarm	Alarm
alessandro	Alexander
alex	Alex
alexander	Alexander
alkohol	alcohol
alkoholsucht	Alcoholism
alle	all
allein	alone
alleine	Alone
alleninformatione	All information
aller	all
allerbe	all-beer
allerdings	However
allerschön	most beautiful
allgemein	general
allmählich	gradually
alltag	daily life
alltäglich	Daily, ordinary, everyday
alphabet	alphabet
alphabetischer	alphabetical
alsmodalverb	Modal auxiliary verb
also	also
altbau	Old building or old construction
altenheim	Old people's home or nursing home
alter	old
alternativ	Alternative
alternative	Alternative
altersheim	Old people's home
älteste	oldest
altpapier	Old paper or scrap paper
amadeo	Amadeus
amilie	Amalie
ampel	traffic light
amüsieren	amuse
amüsiert	amused
analysieren	to analyze
anbieten	to offer
anbieter	Provider
anderer	other
andererseits	On the other hand
ändern	change
anders	different
änderung	Change
andreas	Andrew
anerkennen	Recognize
aneta	Anita
anfang	beginning
anfangen	to begin
anfänger	Beginner
anfangs	at first
angabe	Statement
angeben	to mention, to state, to claim
angebot	Offer
angebotenachtung	Offer night
angehabt	Worn (as in "worn clothes") or intended (as in "intended to do something")
angehörige	Relatives
